year,reef,in/out,position,core,top/bot,total mass,sample mass,hydro 40sec,temp 40sec,hydro 2hr,temp 2hr,cor. 40sec,temp.cor. 40sec,cor. 2hr,temp.cor. 2hr,sand,silt,clay,grain,percent
1,2,IN,27,4,Bot,109.1,50.18,31.0,20.6,17.0,21.4,29.000,29.216,15.000,15.504,41.7780,27.3261,30.8959,sand,41.7780
1,2,IN,27,5,Bot,127.3,50.45,31.5,20.6,18.0,21.5,29.500,29.716,16.000,16.540,41.0985,26.1175,32.7840,sand,41.0985
1,2,OUT,0,1,Top,25.77,25.77,19.5,19.1,11.0,20.9,17.500,17.176,9.500,9.824,33.3478,28.5314,38.1208,sand,33.3478
1,2,OUT,0,2,Top,35.84,35.84,23.0,19.2,13.0,20.8,21.000,20.712,11.500,11.788,42.2092,24.9009,32.8900,sand,42.2092
1,2,OUT,0,3,Top,32.72,32.72,21.5,19.2,13.0,20.9,19.500,19.212,11.500,11.824,41.2829,22.5810,36.1361,sand,41.2829
1,2,OUT,0,4,Top,42.25,42.25,20.5,18.8,11.5,20.8,18.500,18.068,10.000,10.288,57.2347,18.4156,24.3497,sand,57.2347
1,2,OUT,0,5,Top,34.13,34.13,23.0,18.8,13.5,20.7,21.000,20.568,12.000,12.252,39.7352,24.3673,35.8974,sand,39.7352
1,2,OUT,0,1,Bot,106.70,50.34,35.5,18.8,19.0,20.8,33.500,33.068,17.500,17.788,34.3100,30.3548,35.3352,sand,34.3100
1,2,OUT,0,2,Bot,132.60,50.19,29.0,18.8,14.0,20.7,27.000,26.568,12.500,12.752,47.0644,27.5285,25.4070,sand,47.0644
1,2,OUT,0,3,Bot,131.90,50.37,28.5,18.8,16.0,20.7,26.500,26.068,14.500,14.752,48.2463,22.4669,29.2869,sand,48.2463
1,2,OUT,0,4,Bot,127.40,50.24,30.0,18.8,17.0,20.6,28.000,27.568,15.500,15.716,45.1267,23.5918,31.2815,sand,45.1267
1,2,OUT,0,5,Bot,126.60,50.18,31.0,18.8,16.0,20.7,29.000,28.568,14.500,14.752,43.0682,27.5340,29.3977,sand,43.0682
1,2,OUT,12,1,Top,41.61,41.61,27.5,18.8,15.0,20.6,25.500,25.068,13.500,13.716,39.7540,27.2832,32.9628,sand,39.7540
1,2,OUT,12,2,Top,27.58,27.58,19.5,18.7,12.5,20.7,17.500,17.032,11.000,11.252,38.2437,20.9594,40.7969,sand,38.2437
1,2,OUT,12,3,Top,40.17,40.17,24.5,18.8,13.0,20.8,22.500,22.068,11.500,11.788,45.0626,25.5927,29.3447,sand,45.0626
1,2,OUT,12,4,Top,35.89,35.89,23.0,18.8,13.5,20.7,21.000,20.568,12.000,12.252,42.6906,23.1724,34.1371,sand,42.6906
1,2,OUT,12,5,Top,43.09,43.09,26.0,18.9,16.5,20.8,24.000,23.604,15.000,15.288,45.2209,19.3005,35.4787,sand,45.2209
1,2,OUT,12,1,Bot,109.80,50.22,31.5,19.0,17.5,20.7,29.500,29.140,16.000,16.252,41.9747,25.6641,32.3612,sand,41.9747
1,2,OUT,12,2,Bot,127.90,50.54,32.0,19.0,16.5,20.8,30.000,29.640,15.000,15.288,41.3528,28.3984,30.2488,sand,41.3528
1,2,OUT,12,3,Bot,114.30,50.15,32.0,19.1,18.5,20.8,30.000,29.676,17.000,17.288,40.8250,24.7029,34.4721,sand,40.8250
1,2,OUT,12,4,Bot,132.20,50.57,27.5,19.1,16.0,20.7,25.500,25.176,14.500,14.752,50.2150,20.6140,29.1710,sand,50.2150
1,2,OUT,12,5,Bot,128.60,50.62,28.5,19.2,17.0,20.9,26.500,26.212,15.500,15.824,48.2176,20.5225,31.2598,sand,48.2176
1,2,OUT,19,1,Top,28.59,28.59,20.5,20.5,11.0,21.5,18.500,18.680,9.000,9.540,34.6630,31.9703,33.3667,sand,34.6630
1,2,OUT,19,2,Top,49.70,49.70,26.0,20.7,13.5,21.6,24.000,24.252,11.500,12.076,51.2036,24.4995,24.2968,sand,51.2036
1,2,OUT,19,3,Top,36.47,36.47,24.0,20.7,14.5,21.6,22.000,22.252,12.500,13.076,38.9860,25.1611,35.8528,sand,38.9860
1,2,OUT,19,4,Top,37.35,37.35,26.5,20.2,14.0,21.5,24.500,24.572,12.000,12.540,34.2117,32.2152,33.5731,sand,34.2117
1,2,OUT,19,5,Top,34.04,34.04,21.5,20.2,12.5,21.5,19.500,19.572,10.500,11.040,42.5031,25.0658,32.4311,sand,42.5031
1,2,OUT,19,1,Bot,106.60,50.40,36.5,20.3,18.5,21.5,34.500,34.608,16.500,17.040,31.3335,34.8579,33.8086,sand,31.3335
1,2,OUT,19,2,Bot,121.80,50.27,30.0,20.1,16.0,21.4,28.000,28.036,14.000,14.504,44.2292,26.9194,28.8514,sand,44.2292
1,2,OUT,19,3,Bot,129.10,50.25,31.0,20.1,16.0,21.3,29.000,29.036,14.000,14.468,42.2170,28.9918,28.7913,sand,42.2170
1,2,OUT,19,4,Bot,93.70,50.29,43.0,20.1,22.5,21.3,41.000,41.036,20.500,20.968,18.4013,39.9053,41.6934,sand,18.4013
1,2,OUT,19,5,Bot,128.10,50.36,29.9,20.1,15.0,21.3,27.900,27.936,13.000,13.468,44.5275,28.7299,26.7427,sand,44.5275
1,2,OUT,27,1,Top,26.95,26.95,20.0,20.1,11.5,21.3,18.000,18.036,9.500,9.968,33.0762,29.9383,36.9856,sand,33.0762
