year,reef,in/out,position,core,top/bot,sand,silt,clay,volume (cm3),total mass,sand mass,silt mass,clay mass,sample weight,weight lost,%om
1,3,IN,19,2,Bot,40.2755,34.3275,25.3971,117.81,118.70,47.8070,40.7467,30.1463,3.0578,0.0868,2.8386
1,3,IN,19,3,Bot,44.1755,29.3441,26.4805,117.81,124.10,54.8217,36.4160,32.8623,3.0134,0.0876,2.9070
1,3,IN,19,4,Bot,44.8286,26.5294,28.6421,117.81,128.30,57.5150,34.0372,36.7478,3.0919,0.0979,3.1663
1,3,IN,19,5,Bot,43.2841,33.2553,23.4606,117.81,124.10,53.7156,41.2698,29.1146,3.0816,0.0908,2.9465
1,3,IN,27,1,Top,51.6535,27.0571,21.2894,39.26,34.30,17.7172,9.2806,7.3023,3.0589,0.0738,2.4126
1,3,IN,27,2,Top,45.7061,24.2787,30.0152,39.26,27.78,12.6972,6.7446,8.3382,3.0292,0.0662,2.1854
1,3,IN,27,3,Top,49.5027,28.3886,22.1087,39.26,30.93,15.3112,8.7806,6.8382,3.1160,0.0628,2.0154
1,3,IN,27,4,Top,49.4850,28.0395,22.4755,39.26,32.97,16.3152,9.2446,7.4102,3.0611,0.0857,2.7996
1,3,IN,27,5,Top,48.1572,26.4268,25.4160,39.26,33.09,15.9352,8.7446,8.4102,3.0440,0.0909,2.9862
1,3,IN,27,1,Bot,23.1973,44.1976,32.6051,117.81,121.60,28.2079,53.7442,39.6478,3.0562,0.1019,3.3342
1,3,IN,27,2,Bot,42.1736,33.2421,24.5843,117.81,117.60,49.5962,39.0927,28.9111,3.0737,0.1062,3.4551
1,3,IN,27,3,Bot,39.8231,31.4543,28.7227,117.81,127.30,50.6948,40.0413,36.5639,3.0730,0.0874,2.8441
1,3,IN,27,4,Bot,40.6645,33.5259,25.8097,117.81,113.10,45.9915,37.9177,29.1907,3.0376,0.1087,3.5785
1,3,IN,27,5,Bot,30.6411,33.5526,35.8063,117.81,109.60,33.5826,36.7737,39.2437,3.0633,0.1058,3.4538
1,3,OUT,0,1,Top,49.2441,30.3660,20.3898,39.26,41.97,20.6678,12.7446,8.5576,3.1063,0.0806,2.5947
